地名,センター,燃やせるごみ・スプレー缶,枝・葉・草,燃やせないごみ,容器プラ,雑がみ,びん・缶・ペット
中央区 南17条西18丁目,札幌センター1,月 木,20180921 20181019 20181116 20190510 20190607 20190705 20190802 20190830 20190927,20180907 20181005 20181102 20181130 20181228 20190201 20190301 20190329 20190426 20190524 20190621 20190719 20190816 20190913,火,20180914 20180928 20181012 20181026 20181109 20181123 20181207 20181221 20190111 20190125 20190208 20190222 20190308 20190322 20190405 20190419 20190503 20190517 20190531 20190614 20190628 20190712 20190726 20190809 20190823 20190906 20190920,水
中央区 円山・双子山・界川・旭ヶ丘・伏見,札幌センター1,月 木,20180921 20181019 20181116 20190510 20190607 20190705 20190802 20190830 20190927,20180907 20181005 20181102 20181130 20181228 20190201 20190301 20190329 20190426 20190524 20190621 20190719 20190816 20190913,火,20180914 20180928 20181012 20181026 20181109 20181123 20181207 20181221 20190111 20190125 20190208 20190222 20190308 20190322 20190405 20190419 20190503 20190517 20190531 20190614 20190628 20190712 20190726 20190809 20190823 20190906 20190920,水
中央区 円山西町（9丁目5番、6番のみ）,札幌センター1,月 木,20180921 20181019 20181116 20190510 20190607 20190705 20190802 20190830 20190927,20180907 20181005 20181102 20181130 20181228 20190201 20190301 20190329 20190426 20190524 20190621 20190719 20190816 20190913,火,20180914 20180928 20181012 20181026 20181109 20181123 20181207 20181221 20190111 20190125 20190208 20190222 20190308 20190322 20190405 20190419 20190503 20190517 20190531 20190614 20190628 20190712 20190726 20190809 20190823 20190906 20190920,水
中央区 北1条西10丁目～19丁目（北1条通の北側のみ）,札幌センター1,火 金,20180917 20181015 20181112 20181210 20190527 20190624 20190722 20190819 20190916,20180903 20181001 20181029 20181126 20181224 20190121 20190218 20190318 20190415 20190513 20190610 20190708 20190805 20190902,水,20180910 20180924 20181008 20181022 20181105 20181119 20181203 20181217 20181231 20190114 20190128 20190211 20190225 20190311 20190325 20190408 20190422 20190506 20190520 20190603 20190617 20190701 20190715 20190729 20190812 20190826 20190909 20190923,木
中央区 北2条西8丁目～19丁目,札幌センター1,火 金,20180917 20181015 20181112 20181210 20190527 20190624 20190722 20190819 20190916,20180903 20181001 20181029 20181126 20181224 20190121 20190218 20190318 20190415 20190513 20190610 20190708 20190805 20190902,水,20180910 20180924 20181008 20181022 20181105 20181119 20181203 20181217 20181231 20190114 20190128 20190211 20190225 20190311 20190325 20190408 20190422 20190506 20190520 20190603 20190617 20190701 20190715 20190729 20190812 20190826 20190909 20190923,木
中央区 北3条・4条の西8丁目～20丁目,札幌センター1,火 金,20180917 20181015 20181112 20181210 20190527 20190624 20190722 20190819 20190916,20180903 20181001 20181029 20181126 20181224 20190121 20190218 20190318 20190415 20190513 20190610 20190708 20190805 20190902,水,20180910 20180924 20181008 20181022 20181105 20181119 20181203 20181217 20181231 20190114 20190128 20190211 20190225 20190311 20190325 20190408 20190422 20190506 20190520 20190603 20190617 20190701 20190715 20190729 20190812 20190826 20190909 20190923,木
中央区 北5条～11条の西9丁目～20丁目,札幌センター1,火 金,20180917 20181015 20181112 20181210 20190527 20190624 20190722 20190819 20190916,20180903 20181001 20181029 20181126 20181224 20190121 20190218 20190318 20190415 20190513 20190610 20190708 20190805 20190902,水,20180910 20180924 20181008 20181022 20181105 20181119 20181203 20181217 20181231 20190114 20190128 20190211 20190225 20190311 20190325 20190408 20190422 20190506 20190520 20190603 20190617 20190701 20190715 20190729 20190812 20190826 20190909 20190923,木
中央区 北12条～14条の西15丁目～19丁目,札幌センター1,火 金,20180917 20181015 20181112 20181210 20190527 20190624 20190722 20190819 20190916,20180903 20181001 20181029 20181126 20181224 20190121 20190218 20190318 20190415 20190513 20190610 20190708 20190805 20190902,水,20180910 20180924 20181008 20181022 20181105 20181119 20181203 20181217 20181231 20190114 20190128 20190211 20190225 20190311 20190325 20190408 20190422 20190506 20190520 20190603 20190617 20190701 20190715 20190729 20190812 20190826 20190909 20190923,木
中央区 北15条～22条の西○丁目,札幌センター1,火 金,20180917 20181015 20181112 20181210 20190527 20190624 20190722 20190819 20190916,20180903 20181001 20181029 20181126 20181224 20190121 20190218 20190318 20190415 20190513 20190610 20190708 20190805 20190902,水,20180910 20180924 20181008 20181022 20181105 20181119 20181203 20181217 20181231 20190114 20190128 20190211 20190225 20190311 20190325 20190408 20190422 20190506 20190520 20190603 20190617 20190701 20190715 20190729 20190812 20190826 20190909 20190923,木
中央区 大通西20丁目～28丁目,札幌センター1,火 金,20180920 20181018 20181115 20190509 20190606 20190704 20190801 20190829 20190926,20180906 20181004 20181101 20181129 20181227 20190131 20190228 20190328 20190425 20190523 20190620 20190718 20190815 20190912,月,20180913 20180927 20181011 20181025 20181108 20181122 20181206 20181220 20190110 20190124 20190207 20190221 20190307 20190321 20190404 20190418 20190502 20190516 20190530 20190613 20190627 20190711 20190725 20190808 20190822 20190905 20190919,水
