地名,センター,燃やせるごみ,枝・葉・草,燃やせないごみ,容器プラ,雑がみ,びん・缶・ペット
北区 篠路○条○丁目,札幌センター1,火 金,20170928 20171026 20171123 20180517 20180614 20180712 20180809 20180906,20170914 20171012 20171109 20171207 20180111 20180208 20180308 20180405 20180503 20180531 20180628 20180726 20180823 20180920,月,20170907 20170921 20171005 20171019 20171102 20171116 20171130 20171214 20171228 20180118 20180201 20180215 20180301 20180315 20180329 20180412 20180426 20180510 20180524 20180607 20180621 20180705 20180719 20180802 20180816 20180830 20180913 20180927,水
北区 篠路町篠路○番地,札幌センター1,火 金,20170928 20171026 20171123 20180517 20180614 20180712 20180809 20180906,20170914 20171012 20171109 20171207 20180111 20180208 20180308 20180405 20180503 20180531 20180628 20180726 20180823 20180920,月,20170907 20170921 20171005 20171019 20171102 20171116 20171130 20171214 20171228 20180118 20180201 20180215 20180301 20180315 20180329 20180412 20180426 20180510 20180524 20180607 20180621 20180705 20180719 20180802 20180816 20180830 20180913 20180927,水
北区 篠路町福移○番地,札幌センター1,火 金,20170928 20171026 20171123 20180517 20180614 20180712 20180809 20180906,20170914 20171012 20171109 20171207 20180111 20180208 20180308 20180405 20180503 20180531 20180628 20180726 20180823 20180920,月,20170907 20170921 20171005 20171019 20171102 20171116 20171130 20171214 20171228 20180118 20180201 20180215 20180301 20180315 20180329 20180412 20180426 20180510 20180524 20180607 20180621 20180705 20180719 20180802 20180816 20180830 20180913 20180927,水
北区 篠路町上篠路○番地,札幌センター1,火 金,20170928 20171026 20171123 20180517 20180614 20180712 20180809 20180906,20170914 20171012 20171109 20171207 20180111 20180208 20180308 20180405 20180503 20180531 20180628 20180726 20180823 20180920,月,20170907 20170921 20171005 20171019 20171102 20171116 20171130 20171214 20171228 20180118 20180201 20180215 20180301 20180315 20180329 20180412 20180426 20180510 20180524 20180607 20180621 20180705 20180719 20180802 20180816 20180830 20180913 20180927,水
北区 西茨戸○条○丁目、○番地,札幌センター1,火 金,20170928 20171026 20171123 20180517 20180614 20180712 20180809 20180906,20170914 20171012 20171109 20171207 20180111 20180208 20180308 20180405 20180503 20180531 20180628 20180726 20180823 20180920,月,20170907 20170921 20171005 20171019 20171102 20171116 20171130 20171214 20171228 20180118 20180201 20180215 20180301 20180315 20180329 20180412 20180426 20180510 20180524 20180607 20180621 20180705 20180719 20180802 20180816 20180830 20180913 20180927,水
北区 東茨戸○条○丁目、○番地,札幌センター1,火 金,20170928 20171026 20171123 20180517 20180614 20180712 20180809 20180906,20170914 20171012 20171109 20171207 20180111 20180208 20180308 20180405 20180503 20180531 20180628 20180726 20180823 20180920,月,20170907 20170921 20171005 20171019 20171102 20171116 20171130 20171214 20171228 20180118 20180201 20180215 20180301 20180315 20180329 20180412 20180426 20180510 20180524 20180607 20180621 20180705 20180719 20180802 20180816 20180830 20180913 20180927,水
北区 拓北○条○丁目,札幌センター1,火 金,20170928 20171026 20171123 20180517 20180614 20180712 20180809 20180906,20170914 20171012 20171109 20171207 20180111 20180208 20180308 20180405 20180503 20180531 20180628 20180726 20180823 20180920,月,20170907 20170921 20171005 20171019 20171102 20171116 20171130 20171214 20171228 20180118 20180201 20180215 20180301 20180315 20180329 20180412 20180426 20180510 20180524 20180607 20180621 20180705 20180719 20180802 20180816 20180830 20180913 20180927,水
北区 篠路町拓北○番地,札幌センター1,火 金,20170928 20171026 20171123 20180517 20180614 20180712 20180809 20180906,20170914 20171012 20171109 20171207 20180111 20180208 20180308 20180405 20180503 20180531 20180628 20180726 20180823 20180920,月,20170907 20170921 20171005 20171019 20171102 20171116 20171130 20171214 20171228 20180118 20180201 20180215 20180301 20180315 20180329 20180412 20180426 20180510 20180524 20180607 20180621 20180705 20180719 20180802 20180816 20180830 20180913 20180927,水
北区 あいの里○条○丁目,札幌センター1,火 金,20170928 20171026 20171123 20180517 20180614 20180712 20180809 20180906,20170914 20171012 20171109 20171207 20180111 20180208 20180308 20180405 20180503 20180531 20180628 20180726 20180823 20180920,月,20170907 20170921 20171005 20171019 20171102 20171116 20171130 20171214 20171228 20180118 20180201 20180215 20180301 20180315 20180329 20180412 20180426 20180510 20180524 20180607 20180621 20180705 20180719 20180802 20180816 20180830 20180913 20180927,水
北区 南あいの里○丁目,札幌センター1,火 金,20170928 20171026 20171123 20180517 20180614 20180712 20180809 20180906,20170914 20171012 20171109 20171207 20180111 20180208 20180308 20180405 20180503 20180531 20180628 20180726 20180823 20180920,月,20170907 20170921 20171005 20171019 20171102 20171116 20171130 20171214 20171228 20180118 20180201 20180215 20180301 20180315 20180329 20180412 20180426 20180510 20180524 20180607 20180621 20180705 20180719 20180802 20180816 20180830 20180913 20180927,水
